-54.243355, 4, 0,  0.113648, 2.385974, 0.047338, 4.000000, 1
-65.074265, 10, 0,  0.417324, 3.553745, 0.070319, 10.000000, 1
-58.798515, 8, 0,  0.308553, 2.707842, 0.048973, 8.000000, 1
-42.421173, 3, 0,  0.081870, 2.361917, 0.047891, 3.000000, 1
-38.805714, 8, 0,  0.258722, 2.537467, 0.046615, 8.000000, 1
-31.519482, 5, 0,  0.174673, 2.877925, 0.053475, 5.000000, 1
-64.178772, 5, 0,  0.251316, 2.730322, 0.052596, 5.000000, 1
-30.478336, 6, 0,  0.193255, 2.473232, 0.052386, 6.000000, 1
-59.957573, 6, 0,  0.200046, 1.995613, 0.053521, 6.000000, 1
-69.104454, 9, 0,  0.437411, 2.664030, 0.073968, 9.000000, 1
-64.607246, 3, 0,  0.092310, 2.976236, 0.054595, 3.000000, 1
-44.984970, 7, 0,  0.206958, 3.292313, 0.051891, 7.000000, 1
-24.305767, 5, 0,  0.285331, 2.660765, 0.051783, 5.000000, 1
-52.340271, 6, 0,  0.195833, 2.154814, 0.048548, 6.000000, 1
-62.044647, 7, 0,  0.209630, 2.754702, 0.053159, 7.000000, 1
-43.067734, 7, 0,  0.218736, 2.779917, 0.050865, 7.000000, 1
-65.572327, 6, 0,  0.267848, 2.447134, 0.061735, 6.000000, 1
-57.952003, 8, 0,  0.303081, 2.724295, 0.051649, 8.000000, 1
-53.480110, 7, 0,  0.209630, 2.823372, 0.051224, 7.000000, 1
-67.965912, 2, 0,  0.068727, 2.438142, 0.073463, 2.000000, 1
-31.896629, 4, 0,  0.120333, 2.634682, 0.047986, 4.000000, 1
-74.903030, 11, 0,  0.439930, 2.745770, 0.145503, 11.000000, 1
-73.540909, 8, 0,  0.445030, 2.490121, 0.105483, 8.000000, 1
-73.883400, 6, 0,  0.212489, 2.617078, 0.106681, 6.000000, 1
-60.204964, 6, 0,  0.268001, 2.731341, 0.053533, 6.000000, 1
-46.464172, 8, 1,  0.447079, 2.160593, 0.048852, 12.000000, 1
